iter	Accuracy	Logloss
0	0.824615884	0.6065419297
1	0.8349320807	0.5548166369
2	0.8384278327	0.5098968687
3	0.8463974455	0.4780560822
4	0.8518713458	0.4496049823
5	0.8565688996	0.4213496244
6	0.8609067902	0.3985672721
7	0.8760301942	0.3606689199
8	0.8811225004	0.3480108145
9	0.8848989653	0.3336445874
10	0.8872981828	0.323049311
11	0.8920088951	0.3150456868
12	0.9056103092	0.2744820039
13	0.9080270712	0.2688484869
14	0.9141983675	0.2634669316
15	0.9225627327	0.2445290138
16	0.9264400788	0.2406886185
17	0.9346377708	0.220793033
18	0.9374756021	0.2172276062
19	0.9422214035	0.2044922873
20	0.9494760758	0.1836062726
21	0.9560772136	0.1691798435
22	0.9597001636	0.1598621196
23	0.9646608857	0.1475364994
24	0.9675074893	0.1424069877
25	0.97095938	0.1361745047
26	0.9727489243	0.1336115536
27	0.9744200429	0.1275018152
28	0.9767008347	0.1172022291
29	0.9786044186	0.1134880779
30	0.9793325175	0.1111738656
31	0.9823150914	0.1044412334
32	0.9833414477	0.1012594301
33	0.9845476357	0.09794351933
34	0.9853195959	0.09358253015
35	0.9857845266	0.08918757594
36	0.9862538434	0.08738999187
37	0.9871091403	0.08258059178
38	0.9871880908	0.08140557602
39	0.9881749718	0.07798447479
40	0.9888372787	0.07373581503
41	0.989705734	0.07030081548
42	0.9904119022	0.06764591244
43	0.9905654171	0.06695150249
44	0.9908636744	0.06583186941
45	0.9911531596	0.06392416839
46	0.9912057932	0.06335710175
47	0.9912364962	0.06273300938
48	0.9912233378	0.06072696561
49	0.9913286051	0.06012023313
50	0.9920479317	0.05804923279
51	0.9921224961	0.05633094391
52	0.9926137435	0.05483226363
53	0.9926883079	0.05415394072
54	0.9927716445	0.05302360014
55	0.9929646346	0.05160623905
56	0.9933857038	0.05096462003
57	0.9934690404	0.05027464754
58	0.9934646543	0.04917610254
59	0.9935743078	0.04886662738
60	0.9936225553	0.04839851435
61	0.9935304464	0.0481607437
62	0.9937804562	0.04645493786
63	0.9937234365	0.04618949822
64	0.9938111592	0.04578145492
65	0.9941006443	0.04429529349
66	0.9942717037	0.04347811435
67	0.9940436245	0.04246041879
68	0.9943945156	0.04215664819
69	0.9940874859	0.04150801879
70	0.9943462681	0.04121108378
71	0.9941313473	0.04096647403
72	0.9944208324	0.04068705905
73	0.9943681987	0.0404019816
74	0.9943462681	0.04023789708
75	0.9940830998	0.04003306779
76	0.9943024067	0.03979056567
77	0.9943462681	0.03949388729
78	0.994376971	0.03926970492
79	0.9945129413	0.03896024702
80	0.9944032878	0.03881259169
81	0.9944559215	0.03853373052
82	0.9944910106	0.0380601994
83	0.9945611888	0.03736893235
84	0.9946182086	0.03703818
85	0.9947103175	0.03637315074
86	0.9947190898	0.03611614601
87	0.9948506739	0.0354899467
88	0.9948989214	0.03504575778
89	0.9949559412	0.03425785591
90	0.9949559412	0.03407180152
91	0.9949998026	0.03338533302
92	0.995012961	0.03319649742
93	0.9950875254	0.0324411968
94	0.9951313868	0.03171300058
95	0.9954603471	0.03152225661
96	0.9955042085	0.03128762945
97	0.9954691194	0.03115174244
98	0.9957015847	0.03102025311
99	0.9956971986	0.03086927574
100	0.9957059708	0.03070343881
101	0.9957015847	0.03059433944
102	0.9957498322	0.03036280204
103	0.9957322877	0.03025880361
104	0.9957542184	0.03011651099
105	0.9957893075	0.02969875931
106	0.9958638718	0.02943352257
107	0.9958858025	0.02907635523
108	0.99593405	0.02864343055
109	0.9959691391	0.02852092811
110	0.9959866837	0.02812708728
111	0.9960261589	0.0277322228
112	0.9961401985	0.02751198392
113	0.9963112579	0.02736384873
114	0.9963419609	0.02704360497
115	0.996346347	0.02687650829
116	0.9963419609	0.02675044732
117	0.9963419609	0.02662087308
118	0.9964691589	0.026390021
119	0.9963989807	0.0259462488
120	0.9963858222	0.02576579881
121	0.9964033668	0.02567185872
122	0.9965086341	0.02546714969
123	0.9965086341	0.02533997856
124	0.9967761885	0.02516604282
125	0.9967805747	0.02509236174
126	0.9968726836	0.02499890626
127	0.9969998816	0.02456546037
128	0.9970569014	0.02421471498
129	0.9970569014	0.02401679984
130	0.997043743	0.02392231565
131	0.9973156835	0.02367485707
132	0.9974999013	0.02360537596
133	0.9974999013	0.02351318593
134	0.9974384954	0.02343260573
135	0.9974823568	0.02334411299
136	0.9974735845	0.02328277772
137	0.9974779706	0.02321264684
138	0.9974955152	0.02288810776
139	0.9974604261	0.02281493352
140	0.9974735845	0.02268579946
141	0.9974604261	0.02232453313
142	0.9974691983	0.02220532221
143	0.9974955152	0.02205740643
144	0.9974999013	0.02198043794
145	0.9974999013	0.02168009418
146	0.9975130597	0.02139958716
147	0.9975306043	0.0210661097
148	0.9975306043	0.02086488981
149	0.9975656934	0.02070264055
150	0.997552535	0.0206424367
151	0.9975481488	0.02058732011
152	0.9975306043	0.02054068914
153	0.9975481488	0.02031291958
154	0.9975393766	0.02016570048
155	0.9975569211	0.01998097345
156	0.9976139409	0.01992063961
157	0.9976139409	0.01980234244
158	0.9976227132	0.0196306605
159	0.997618327	0.0195767024
160	0.997618327	0.01936049398
161	0.9976270993	0.0193093167
162	0.9977279805	0.01907972952
163	0.9977279805	0.01900306334
164	0.9978244755	0.01890966441
165	0.9978464062	0.01877666929
166	0.9978507924	0.0187108156
167	0.9978507924	0.0186050748
168	0.9978507924	0.01848874719
169	0.9978507924	0.01842716417
170	0.9978464062	0.01837115964
171	0.9978639508	0.01830969941
172	0.9978683369	0.01825813478
173	0.9979078122	0.01811215533
174	0.9979165844	0.01804448343
175	0.9979121983	0.01798912412
176	0.9979121983	0.01794364289
177	0.9979121983	0.01789791236
178	0.9979121983	0.01782386229
179	0.9979165844	0.0177597558
180	0.9979165844	0.0177083391
181	0.9979165844	0.01761382695
182	0.9979253567	0.01756935211
183	0.9979253567	0.01751855715
184	0.9979297428	0.01739612426
185	0.9979297428	0.01736169628
186	0.9979253567	0.01732418718
187	0.9979297428	0.0172672285
188	0.9979297428	0.0172004645
189	0.9979297428	0.01711979651
190	0.9980569408	0.01702731706
191	0.9980393963	0.01695998411
192	0.9980700993	0.01682550322
193	0.9980700993	0.01668795266
194	0.9980744854	0.01657860341
195	0.9980876438	0.016486293
196	0.9981358913	0.01641619283
197	0.9981358913	0.01634133957
198	0.9981358913	0.01627010171
199	0.9981358913	0.01621608782
