iter	Passed	Remaining
0	33	6579
1	75	7477
2	132	8721
3	176	8649
4	223	8720
5	282	9147
6	331	9151
7	373	8966
8	416	8831
9	451	8572
10	490	8419
11	530	8312
12	566	8152
13	600	7977
14	633	7807
15	673	7746
16	707	7612
17	748	7566
18	788	7514
19	831	7484
20	867	7396
21	904	7322
22	943	7258
23	981	7196
24	1021	7148
25	1062	7107
26	1096	7026
27	1133	6963
28	1192	7030
29	1242	7039
30	1278	6969
31	1328	6976
32	1369	6931
33	1411	6892
34	1451	6841
35	1491	6796
36	1527	6727
37	1562	6661
38	1595	6588
39	1634	6538
40	1676	6500
41	1715	6455
42	1754	6404
43	1791	6353
44	1830	6306
45	1867	6251
46	1903	6196
47	1940	6144
48	1979	6100
49	2014	6044
50	2050	5991
51	2094	5959
52	2132	5913
53	2169	5864
54	2209	5826
55	2248	5782
56	2288	5741
57	2330	5706
58	2371	5667
59	2405	5612
60	2442	5566
61	2476	5512
62	2523	5486
63	2555	5429
64	2588	5376
65	2627	5334
66	2668	5296
67	2706	5254
68	2740	5203
69	2781	5165
70	2823	5129
71	2856	5078
72	2890	5029
73	2928	4986
74	2967	4945
75	3003	4901
76	3044	4862
77	3082	4821
78	3116	4774
79	3154	4732
80	3191	4688
81	3229	4647
82	3266	4604
83	3301	4559
84	3342	4521
85	3381	4481
86	3420	4442
87	3455	4398
88	3493	4356
89	3528	4312
90	3575	4282
91	3622	4252
92	3671	4224
93	3717	4191
94	3754	4149
95	3793	4110
96	3833	4070
97	3871	4029
98	3910	3989
99	3947	3947
100	3983	3904
101	4018	3860
102	4054	3818
103	4091	3777
104	4133	3740
105	4172	3700
106	4210	3659
107	4253	3623
108	4290	3581
109	4323	3537
110	4361	3496
111	4397	3455
112	4436	3415
113	4474	3375
114	4521	3341
115	4560	3302
116	4603	3266
117	4643	3226
118	4686	3189
119	4724	3149
120	4764	3110
121	4801	3069
122	4843	3031
123	4884	2993
124	4927	2956
125	4968	2917
126	5006	2877
127	5042	2836
128	5085	2799
129	5126	2760
130	5166	2721
131	5206	2682
132	5245	2642
133	5285	2603
134	5327	2565
135	5369	2526
136	5407	2486
137	5445	2446
138	5487	2408
139	5524	2367
140	5564	2328
141	5602	2288
142	5645	2250
143	5683	2210
144	5723	2170
145	5763	2131
146	5805	2093
147	5847	2054
148	5895	2017
149	5934	1978
150	5972	1938
151	6011	1898
152	6056	1860
153	6099	1821
154	6145	1784
155	6191	1746
156	6246	1710
157	6296	1673
158	6338	1634
159	6377	1594
160	6419	1555
161	6457	1514
162	6504	1476
163	6560	1440
164	6613	1402
165	6666	1365
166	6728	1329
167	6790	1293
168	6856	1257
169	6905	1218
170	6951	1178
171	6998	1139
172	7042	1099
173	7085	1058
174	7133	1019
175	7173	978
176	7216	937
177	7256	896
178	7301	856
179	7344	816
180	7386	775
181	7428	734
182	7467	693
183	7511	653
184	7552	612
185	7590	571
186	7630	530
187	7669	489
188	7714	448
189	7754	408
190	7800	367
191	7846	326
192	7895	286
193	7936	245
194	7976	204
195	8015	163
196	8059	122
197	8098	81
198	8142	40
199	8185	0
